created_at,text,cleaned_text,sentiment_score,sentiment,top_words
4/12/2023 6:18,Day 5 of April Theory and I’m already sleeping better.,day april theory im already sleeping better,0.4404,Positive,"day, april, theory"
4/6/2023 21:00,This April reset feels more natural than the whole New Year pressure.,april reset feels natural whole new year pressure,0.0772,Positive,"april, reset, feels"
4/5/2023 22:42,Started my new habits in April and it's already going better than New Year’s.,started new habits april already going better new years,0.4404,Positive,"new, started, habits"
4/15/2023 13:51,April Theory hits different when the sun is out and everything is blooming.,april theory hits different sun everything blooming,0,Neutral,"april, theory, hits"
4/5/2023 14:44,April Theory is overhyped. Just my two cents.,april theory overhyped two cents,0,Neutral,"april, theory, overhyped"
4/5/2023 8:06,"April Theory: sunlight, flowers, dopamine. It tracks.",april theory sunlight flowers dopamine tracks,0,Neutral,"april, theory, sunlight"
4/9/2023 3:06,"Not buying into April Theory, but I do love the weather.",buying april theory love weather,0.6369,Positive,"buying, april, theory"
4/11/2023 18:48,Spring cleaning inside and out. April Theory activated.,spring cleaning inside april theory activated,0,Neutral,"spring, cleaning, inside"
4/14/2023 13:18,April Theory hits different when the sun is out and everything is blooming.,april theory hits different sun everything blooming,0,Neutral,"april, theory, hits"
4/9/2023 10:02,"Forget January, April is when I actually feel alive again.",forget january april actually feel alive,0.1779,Positive,"forget, january, april"
4/1/2023 11:03,Can confirm: my April routine feels way more sustainable than my January resolutions.,confirm april routine feels way sustainable january resolutions,0,Neutral,"confirm, april, routine"
4/10/2023 1:40,"April Theory: sunlight, flowers, dopamine. It tracks.",april theory sunlight flowers dopamine tracks,0,Neutral,"april, theory, sunlight"
4/7/2023 8:19,April > January. That’s the tweet.,april january thats tweet,0,Neutral,"april, january, thats"
4/4/2023 0:01,I really believe in the April Theory. There's something magical about spring resets!,really believe april theory theres something magical spring resets,0,Neutral,"really, believe, april"
4/5/2023 2:49,I really believe in the April Theory. There's something magical about spring resets!,really believe april theory theres something magical spring resets,0,Neutral,"really, believe, april"
4/5/2023 16:36,"April Theory just makes sense. Nature resets, so do we.",april theory makes sense nature resets,0,Neutral,"april, theory, makes"
4/13/2023 11:07,"April Theory just makes sense. Nature resets, so do we.",april theory makes sense nature resets,0,Neutral,"april, theory, makes"
4/10/2023 10:17,Spring cleaning inside and out. April Theory activated.,spring cleaning inside april theory activated,0,Neutral,"spring, cleaning, inside"
4/15/2023 5:32,Started my new habits in April and it's already going better than New Year’s.,started new habits april already going better new years,0.4404,Positive,"new, started, habits"
4/7/2023 18:20,Just a vibe check: anyone else feeling way more motivated this month?,vibe check anyone else feeling way motivated month,0.5423,Positive,"vibe, check, anyone"
4/3/2023 3:20,"Let’s normalize starting over in April, not just January.",lets normalize starting april january,0,Neutral,"lets, normalize, starting"
4/13/2023 14:15,"Trying April Theory this year—so far, I’m meditating daily and journaling. 🌱",trying april theory yearso far im meditating daily journaling,0,Neutral,"trying, april, theory"
4/5/2023 22:55,April Theory is working wonders for my mental health!,april theory working wonders mental health,0,Neutral,"april, theory, working"
4/10/2023 23:49,Day 5 of April Theory and I’m already sleeping better.,day april theory im already sleeping better,0.4404,Positive,"day, april, theory"
4/11/2023 15:16,Started my new habits in April and it's already going better than New Year’s.,started new habits april already going better new years,0.4404,Positive,"new, started, habits"
4/14/2023 7:27,Started my new habits in April and it's already going better than New Year’s.,started new habits april already going better new years,0.4404,Positive,"new, started, habits"
4/13/2023 0:02,I really believe in the April Theory. There's something magical about spring resets!,really believe april theory theres something magical spring resets,0,Neutral,"really, believe, april"
4/3/2023 22:52,April Theory is overhyped. Just my two cents.,april theory overhyped two cents,0,Neutral,"april, theory, overhyped"
4/9/2023 1:21,"Forget January, April is when I actually feel alive again.",forget january april actually feel alive,0.1779,Positive,"forget, january, april"
4/4/2023 0:23,April Theory hits different when the sun is out and everything is blooming.,april theory hits different sun everything blooming,0,Neutral,"april, theory, hits"
4/9/2023 5:06,"Forget January, April is when I actually feel alive again.",forget january april actually feel alive,0.1779,Positive,"forget, january, april"
4/6/2023 13:12,"April Theory: sunlight, flowers, dopamine. It tracks.",april theory sunlight flowers dopamine tracks,0,Neutral,"april, theory, sunlight"
4/6/2023 19:33,Not sure about April Theory. It feels like just another month to me.,sure april theory feels like another month,0.5859,Positive,"sure, april, theory"
4/13/2023 11:04,"Forget January, April is when I actually feel alive again.",forget january april actually feel alive,0.1779,Positive,"forget, january, april"
4/5/2023 15:02,Spring cleaning inside and out. April Theory activated.,spring cleaning inside april theory activated,0,Neutral,"spring, cleaning, inside"
4/15/2023 16:30,Started my new habits in April and it's already going better than New Year’s.,started new habits april already going better new years,0.4404,Positive,"new, started, habits"
4/3/2023 14:40,Day 5 of April Theory and I’m already sleeping better.,day april theory im already sleeping better,0.4404,Positive,"day, april, theory"
4/5/2023 19:49,"Trying April Theory this year—so far, I’m meditating daily and journaling. 🌱",trying april theory yearso far im meditating daily journaling,0,Neutral,"trying, april, theory"
4/11/2023 14:06,"Not buying into April Theory, but I do love the weather.",buying april theory love weather,0.6369,Positive,"buying, april, theory"
4/8/2023 8:26,"Not buying into April Theory, but I do love the weather.",buying april theory love weather,0.6369,Positive,"buying, april, theory"
4/9/2023 12:51,This April reset feels more natural than the whole New Year pressure.,april reset feels natural whole new year pressure,0.0772,Positive,"april, reset, feels"
4/4/2023 2:04,"April Theory: sunlight, flowers, dopamine. It tracks.",april theory sunlight flowers dopamine tracks,0,Neutral,"april, theory, sunlight"
4/2/2023 4:47,This April reset feels more natural than the whole New Year pressure.,april reset feels natural whole new year pressure,0.0772,Positive,"april, reset, feels"
4/11/2023 9:55,Not sure about April Theory. It feels like just another month to me.,sure april theory feels like another month,0.5859,Positive,"sure, april, theory"
4/2/2023 2:22,"April is the new January. Fresh air, longer days, fresh mindset. #AprilTheory",april new january fresh air longer days fresh mindset apriltheory,0.5574,Positive,"fresh, april, new"
4/5/2023 10:21,I really believe in the April Theory. There's something magical about spring resets!,really believe april theory theres something magical spring resets,0,Neutral,"really, believe, april"
4/15/2023 15:54,April Theory is working wonders for my mental health!,april theory working wonders mental health,0,Neutral,"april, theory, working"
4/12/2023 20:44,Not sure about April Theory. It feels like just another month to me.,sure april theory feels like another month,0.5859,Positive,"sure, april, theory"
4/8/2023 5:40,April Theory hits different when the sun is out and everything is blooming.,april theory hits different sun everything blooming,0,Neutral,"april, theory, hits"
4/12/2023 8:10,April > January. That’s the tweet.,april january thats tweet,0,Neutral,"april, january, thats"
4/11/2023 23:05,Just a vibe check: anyone else feeling way more motivated this month?,vibe check anyone else feeling way motivated month,0.5423,Positive,"vibe, check, anyone"
4/8/2023 22:07,April Theory hits different when the sun is out and everything is blooming.,april theory hits different sun everything blooming,0,Neutral,"april, theory, hits"
4/12/2023 13:08,I really believe in the April Theory. There's something magical about spring resets!,really believe april theory theres something magical spring resets,0,Neutral,"really, believe, april"
4/9/2023 15:39,Spring cleaning inside and out. April Theory activated.,spring cleaning inside april theory activated,0,Neutral,"spring, cleaning, inside"
4/10/2023 10:25,"Trying April Theory this year—so far, I’m meditating daily and journaling. 🌱",trying april theory yearso far im meditating daily journaling,0,Neutral,"trying, april, theory"
4/10/2023 21:04,Who else is starting fresh this April? Loving the energy! #FreshStart,else starting fresh april loving energy freshstart,0.8074,Positive,"else, starting, fresh"
4/2/2023 3:06,April Theory is working wonders for my mental health!,april theory working wonders mental health,0,Neutral,"april, theory, working"
4/7/2023 7:50,Spring cleaning inside and out. April Theory activated.,spring cleaning inside april theory activated,0,Neutral,"spring, cleaning, inside"
4/13/2023 7:52,"Forget January, April is when I actually feel alive again.",forget january april actually feel alive,0.1779,Positive,"forget, january, april"
4/4/2023 21:19,This April reset feels more natural than the whole New Year pressure.,april reset feels natural whole new year pressure,0.0772,Positive,"april, reset, feels"
4/10/2023 11:18,"April Theory just makes sense. Nature resets, so do we.",april theory makes sense nature resets,0,Neutral,"april, theory, makes"
4/4/2023 20:22,Who else is starting fresh this April? Loving the energy! #FreshStart,else starting fresh april loving energy freshstart,0.8074,Positive,"else, starting, fresh"
4/10/2023 19:07,April > January. That’s the tweet.,april january thats tweet,0,Neutral,"april, january, thats"
4/7/2023 6:37,April Theory is working wonders for my mental health!,april theory working wonders mental health,0,Neutral,"april, theory, working"
4/14/2023 14:40,"Let’s normalize starting over in April, not just January.",lets normalize starting april january,0,Neutral,"lets, normalize, starting"
4/8/2023 14:11,April > January. That’s the tweet.,april january thats tweet,0,Neutral,"april, january, thats"
4/13/2023 19:39,Not sure about April Theory. It feels like just another month to me.,sure april theory feels like another month,0.5859,Positive,"sure, april, theory"
4/3/2023 8:26,Spring cleaning inside and out. April Theory activated.,spring cleaning inside april theory activated,0,Neutral,"spring, cleaning, inside"
4/6/2023 22:00,April > January. That’s the tweet.,april january thats tweet,0,Neutral,"april, january, thats"
4/13/2023 20:24,April Theory is overhyped. Just my two cents.,april theory overhyped two cents,0,Neutral,"april, theory, overhyped"
4/3/2023 21:10,"Not buying into April Theory, but I do love the weather.",buying april theory love weather,0.6369,Positive,"buying, april, theory"
4/4/2023 6:09,Started my new habits in April and it's already going better than New Year’s.,started new habits april already going better new years,0.4404,Positive,"new, started, habits"
4/8/2023 0:40,I really believe in the April Theory. There's something magical about spring resets!,really believe april theory theres something magical spring resets,0,Neutral,"really, believe, april"
4/1/2023 10:44,"Trying April Theory this year—so far, I’m meditating daily and journaling. 🌱",trying april theory yearso far im meditating daily journaling,0,Neutral,"trying, april, theory"
4/1/2023 3:34,April Theory is working wonders for my mental health!,april theory working wonders mental health,0,Neutral,"april, theory, working"
4/7/2023 20:49,Not sure about April Theory. It feels like just another month to me.,sure april theory feels like another month,0.5859,Positive,"sure, april, theory"
4/11/2023 6:49,April > January. That’s the tweet.,april january thats tweet,0,Neutral,"april, january, thats"
4/9/2023 1:41,Who else is starting fresh this April? Loving the energy! #FreshStart,else starting fresh april loving energy freshstart,0.8074,Positive,"else, starting, fresh"
4/3/2023 16:43,April > January. That’s the tweet.,april january thats tweet,0,Neutral,"april, january, thats"
4/7/2023 17:33,"April Theory: sunlight, flowers, dopamine. It tracks.",april theory sunlight flowers dopamine tracks,0,Neutral,"april, theory, sunlight"
4/5/2023 17:15,I really believe in the April Theory. There's something magical about spring resets!,really believe april theory theres something magical spring resets,0,Neutral,"really, believe, april"
4/11/2023 1:46,I really believe in the April Theory. There's something magical about spring resets!,really believe april theory theres something magical spring resets,0,Neutral,"really, believe, april"
